OBJECTID,VALUE,long,lat,X,Y
10579,245815,-122.3076666,47.58853746,-122.3076666,47.58853746
10580,188895,-122.3780225,47.67423888,-122.3780225,47.67423888
10581,166519,-122.3780908,47.67509874,-122.3780908,47.67509874
10582,473647,-122.3788201,47.69430769,-122.3788201,47.69430769
10583,207806,-122.3090971,47.58878158,-122.3090971,47.58878158
10584,458315,-122.3198977,47.60295967,-122.3198977,47.60295967
10585,339816,-122.3133313,47.60304618,-122.3133313,47.60304618
10586,84453,-122.3051021,47.61573364,-122.3051021,47.61573364
10587,48510937,-122.3405484,47.61057535,-122.3405484,47.61057535
10588,270609,-122.3105477,47.6041692,-122.3105477,47.6041692
10589,43073,-122.3377996,47.66849317,-122.3377996,47.66849317
10590,417128,-122.3108817,47.59641415,-122.3108817,47.59641415
10591,176875,-122.3108439,47.59731965,-122.3108439,47.59731965
10592,404086,-122.3011439,47.61576746,-122.3011439,47.61576746
10593,294173,-122.2983255,47.61584921,-122.2983255,47.61584921
10594,256025,-122.3795338,47.67581516,-122.3795338,47.67581516
10595,25049,-122.3092019,47.5880336,-122.3092019,47.5880336
10596,251321,-122.379541,47.67219071,-122.379541,47.67219071
10597,251321,-122.3795333,47.67211421,-122.3795333,47.67211421
10598,242481,-122.3795301,47.67205731,-122.3795301,47.67205731
10599,600646,-122.3137577,47.61692063,-122.3137576,47.61692063
10600,575570,-122.3099181,47.61725251,-122.3099181,47.61725251
10601,211080,-122.2969533,47.61725719,-122.2969533,47.61725719
10602,103439,-122.3800018,47.67328261,-122.3800018,47.67328261
10603,227062,-122.3799771,47.67481762,-122.3799771,47.67481762
10604,5598852,-122.3573449,47.63678338,-122.3573449,47.63678338
10605,345662,-122.3176318,47.6368342,-122.3176318,47.6368342
10606,791125,-122.3424976,47.61064167,-122.3424976,47.61064167
10607,4277836,-122.3597202,47.6219442,-122.3597202,47.6219442
10608,4277836,-122.3597202,47.6219442,-122.3597202,47.6219442
10609,63321,-122.3081515,47.58866156,-122.3081515,47.58866156
10610,1,-122.2837127,47.6145116,-122.2837127,47.6145116
10611,216309,-122.2944601,47.61572562,-122.2944601,47.61572562
10612,387003,-122.3385705,47.66246186,-122.3385705,47.66246186
10613,55000,-122.3100592,47.67045106,-122.3100592,47.67045106
10614,0,-122.3051021,47.61573364,-122.3051021,47.61573364
10615,85633,-122.3051021,47.61573364,-122.3051021,47.61573364
10616,85633,-122.3051021,47.61573364,-122.3051021,47.61573364
10617,1423660,-122.3058934,47.61659611,-122.3058934,47.61659611
10618,1423660,-122.3058934,47.61659611,-122.3058934,47.61659611
10619,0,-122.3058934,47.61659611,-122.3058934,47.61659611
10620,276519,-122.3114456,47.60318101,-122.3114456,47.60318101
10621,0,-122.3066338,47.60321438,-122.3066338,47.60321438
